Sehir,Sira,Sektor,Skor
Kahramanmaraş,5,Çevre / Atık,43.58984129380562
Karabük,1,Lojistik,73.9235691505228
Karabük,2,Sosyal Hizmetler,50.11559290859782
Karabük,3,Sanayi / Üretim,45.07326966059143
Karabük,4,Otomotiv,43.849427922471335
Karabük,5,Enerji,40.28554167130684
Karaman,1,Lojistik,84.27477016471236
Karaman,2,Otomotiv,54.954264921134545
Karaman,3,Sanayi / Üretim,54.808486776361185
Karaman,4,Gıda İşleme,53.120990144282274
Karaman,5,Finans,48.583514259574436
Kars,1,Çevre / Atık,66.48981659602569
Kars,2,Sağlık,62.37855685716538
Kars,3,Sosyal Hizmetler,55.84442276747852
Kars,4,Ulaşım,55.54060162878825
Kars,5,Lojistik,51.14034244648751
Kastamonu,1,Lojistik,80.21768088983087
Kastamonu,2,Otomotiv,58.09654962966905
Kastamonu,3,Sanayi / Üretim,57.69516241002397
Kastamonu,4,Gıda İşleme,54.149001308337276
Kastamonu,5,Finans,51.81415008006345
Kayseri,1,Lojistik,72.53533423967282
Kayseri,2,Gıda İşleme,52.097362867522
Kayseri,3,Sosyal Hizmetler,48.834553448672786
Kayseri,4,Sanayi / Üretim,46.94423586708443
Kayseri,5,Tarım ve Hayvancılık,46.86503664749
Kırıkkale,1,Sosyal Hizmetler,63.87445457695856
Kırıkkale,2,Lojistik,50.462146558289156
Kırıkkale,3,Sağlık,49.93233498015509
Kırıkkale,4,Ulaşım,47.87091707460737
Kırıkkale,5,Çevre / Atık,40.580788392167825
Kırklareli,1,Lojistik,75.46320601849901
Kırklareli,2,Sanayi / Üretim,48.90686658712261
Kırklareli,3,Otomotiv,47.97894681911742
Kırklareli,4,Gıda İşleme,46.873613220751636
Kırklareli,5,Sosyal Hizmetler,45.63639586476293
Kırşehir,1,Lojistik,62.91067112058254
Kırşehir,2,Sosyal Hizmetler,56.62867257844758
Kırşehir,3,Ulaşım,43.41669667585102
Kırşehir,4,Gıda İşleme,40.91672874763207
Kırşehir,5,Sanayi / Üretim,39.11652584816912
Kilis,1,Çevre / Atık,79.31010133961415
Kilis,2,Sağlık,75.68067368559633
Kilis,3,Ulaşım,75.48167264993742
Kilis,4,Sosyal Hizmetler,72.76774133313396
Kilis,5,Turizm / Otelcilik,37.84714394190883
Kocaeli,1,Lojistik,75.46423174219393
Kocaeli,2,Finans,68.12634961463637
Kocaeli,3,Sanayi / Üretim,62.746614741656316
Kocaeli,4,Otomotiv,59.85705544100486
Kocaeli,5,Teknoloji / Yazılım,58.35554891626125
Konya,1,Gıda İşleme,88.63626387827975
Konya,2,Lojistik,87.41890669792357
Konya,3,Tarım ve Hayvancılık,82.28471257038882
Konya,4,Otomotiv,58.490856649001586
Konya,5,Sanayi / Üretim,57.892681417433046
Kütahya,1,Lojistik,63.573162977067774
Kütahya,2,Sosyal Hizmetler,48.2564749629269
Kütahya,3,Sanayi / Üretim,46.40892418346485
Kütahya,4,Otomotiv,45.6212625362754
Kütahya,5,Gıda İşleme,43.651907900582174
Malatya,1,Lojistik,60.650722930950195
Malatya,2,Sosyal Hizmetler,54.6359595464472
Malatya,3,Sağlık,46.84938772356932
Malatya,4,Sanayi / Üretim,40.879558163591966
Malatya,5,Gıda İşleme,40.71829754320168
Manisa,1,Lojistik,90.81813712985901
Manisa,2,Gıda İşleme,64.43429451070733
Manisa,3,Otomotiv,63.415230669364945
Manisa,4,Sanayi / Üretim,62.496721416332846
Manisa,5,Finans,54.937223140377725
Mardin,1,Sosyal Hizmetler,78.00897837630879
Mardin,2,Sağlık,74.22367913793616
Mardin,3,Ulaşım,65.70030897663644
Mardin,4,Çevre / Atık,51.248335159140325
Mardin,5,Turizm / Otelcilik,43.752189841118316
Mersin,1,Lojistik,62.259234453389176
Mersin,2,Sosyal Hizmetler,54.68896786940751
Mersin,3,Sağlık,48.72960562966754
Mersin,4,Ulaşım,44.50548884696941
Mersin,5,Gıda İşleme,42.92866158756126
Muğla,1,Lojistik,69.12871490673757
Muğla,2,Sanayi / Üretim,48.49528052157368
Muğla,3,Gıda İşleme,47.25161479981287
Muğla,4,Finans,45.64337580210324
Muğla,5,Otomotiv,45.614258136002476
Muş,1,Sağlık,75.81835331538814
Muş,2,Sosyal Hizmetler,71.73312922834857
Muş,3,Çevre / Atık,71.0835261950093
Muş,4,Ulaşım,68.8670334106024
Muş,5,Turizm / Otelcilik,41.45789178163867
Nevşehir,1,Lojistik,71.1330709373088
Nevşehir,2,Sanayi / Üretim,47.98939607953402
Nevşehir,3,Otomotiv,47.05399399735683
Nevşehir,4,Gıda İşleme,46.52001163999481
Nevşehir,5,Sosyal Hizmetler,46.337562563684074
Niğde,1,Lojistik,65.95786418355587
Niğde,2,Sosyal Hizmetler,53.18729471882847
Niğde,3,Sağlık,45.95214359093662
Niğde,4,Ulaşım,42.86334411167844
Niğde,5,Sanayi / Üretim,42.02736280647535
Ordu,1,Lojistik,69.27545466958233
Ordu,2,Sanayi / Üretim,47.91391546997499
Ordu,3,Otomotiv,46.836730643355196
Ordu,4,Sosyal Hizmetler,45.929947194444125
Ordu,5,Gıda İşleme,44.45445273567984
Osmaniye,1,Lojistik,74.15463292206525
Osmaniye,2,Sosyal Hizmetler,49.495025823010145
Osmaniye,3,Sanayi / Üretim,45.61764742709645
Osmaniye,4,Otomotiv,44.644960272237554
Osmaniye,5,Kültür & Sanat,44.23856940582785
Rize,1,Lojistik,81.45928088836737
Rize,2,Otomotiv,56.486665894533814
Rize,3,Sanayi / Üretim,56.11323574602197
Rize,4,Finans,50.13890381441853
Rize,5,Gıda İşleme,48.617641784321705
Sakarya,1,Lojistik,85.23121880679653
Sakarya,2,Sanayi / Üretim,58.99438352662656
Sakarya,3,Otomotiv,58.787879152686216
Sakarya,4,Gıda İşleme,53.05263378853545
Sakarya,5,Enerji,52.45624390961403
Samsun,1,Lojistik,77.50876990063504
Samsun,2,Sanayi / Üretim,53.3546373482982
Samsun,3,Otomotiv,52.62264631401648
Samsun,4,Gıda İşleme,51.74322204235525
Samsun,5,Enerji,47.489970833273325
Siirt,1,Sosyal Hizmetler,83.57042275885192
Siirt,2,Sağlık,78.40435729371472
Siirt,3,Ulaşım,70.38966093491359
Siirt,4,Çevre / Atık,58.94065724977526
Siirt,5,Turizm / Otelcilik,43.19289646194973
Sinop,1,Lojistik,70.3498157205424
Sinop,2,Sanayi / Üretim,49.52167800764954
Sinop,3,Otomotiv,48.68875528834798
Sinop,4,Ulaşım,47.87969345495147
Sinop,5,Sosyal Hizmetler,44.9310701095061
Sivas,1,Lojistik,75.59393408603903
Sivas,2,Gıda İşleme,57.12973654662209
Sivas,3,Sanayi / Üretim,50.66098369971655
Sivas,4,Otomotiv,50.358804965142326
Sivas,5,Tarım ve Hayvancılık,48.91575417082233
Şanlıurfa,1,Tarım ve Hayvancılık,61.689488537996205
